GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,1600000US0613588,0613588,United States - California - Citrus Heights city,Citrus Heights city,83301
0100000US,,United States,1600000US0614218,0614218,United States - California - Clovis city,Clovis city,95631
0100000US,,United States,1600000US0614890,0614890,United States - California - Colton city,Colton city,52154
0100000US,,United States,1600000US0615044,0615044,United States - California - Compton city,Compton city,96455
0100000US,,United States,1600000US0616000,0616000,United States - California - Concord city,Concord city,122067
0100000US,,United States,1600000US0616350,0616350,United States - California - Corona city,Corona city,152374
0100000US,,United States,1600000US0616532,0616532,United States - California - Costa Mesa city,Costa Mesa city,109960
0100000US,,United States,1600000US0617610,0617610,United States - California - Cupertino city,Cupertino city,58302
0100000US,,United States,1600000US0617918,0617918,United States - California - Daly City city,Daly City city,101123(r39366)
0100000US,,United States,1600000US0618100,0618100,United States - California - Davis city,Davis city,65622
0100000US,,United States,1600000US0618394,0618394,United States - California - Delano city,Delano city,53041
0100000US,,United States,1600000US0619192,0619192,United States - California - Diamond Bar city,Diamond Bar city,55544
0100000US,,United States,1600000US0619766,0619766,United States - California - Downey city,Downey city,111772
0100000US,,United States,1600000US0620802,0620802,United States - California - East Los Angeles CDP,East Los Angeles CDP,126496
0100000US,,United States,1600000US0621230,0621230,United States - California - Eastvale CDP,Eastvale CDP,53668
0100000US,,United States,1600000US0621712,0621712,United States - California - El Cajon city,El Cajon city,99478
0100000US,,United States,1600000US0622020,0622020,United States - California - Elk Grove city,Elk Grove city,153015
0100000US,,United States,1600000US0622230,0622230,United States - California - El Monte city,El Monte city,113475
0100000US,,United States,1600000US0622678,0622678,United States - California - Encinitas city,Encinitas city,59518
0100000US,,United States,1600000US0622804,0622804,United States - California - Escondido city,Escondido city,143911
0100000US,,United States,1600000US0623182,0623182,United States - California - Fairfield city,Fairfield city,105321
0100000US,,United States,1600000US0624477,0624477,United States - California - Florence-Graham CDP,Florence-Graham CDP,63387
0100000US,,United States,1600000US0624638,0624638,United States - California - Folsom city,Folsom city,72203
0100000US,,United States,1600000US0624680,0624680,United States - California - Fontana city,Fontana city,196069
0100000US,,United States,1600000US0625380,0625380,United States - California - Fountain Valley city,Fountain Valley city,55313
0100000US,,United States,1600000US0626000,0626000,United States - California - Fremont city,Fremont city,214089
0100000US,,United States,1600000US0627000,0627000,United States - California - Fresno city,Fresno city,494665
